WshedID,BASINID,Ditch_ID,AreaM2,CellCount,RainMeanMM,RainSumMM,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E
32,211,,666000,6660,2218,14770500,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,212,,436200,4362,2637,11502700,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,213,,39600,396,2893,1145740,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,214,,157400,1574,2975,4682080,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
33,215,,1005400,10054,2047,20576600,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,216,,1097100,10971,2023,22196800,427,750,28,469,230,577,11,705,,427,750,28,469,230,577,11,705
34,217,,538200,5382,2613,14062600,603,489,0,880,13,557,0,349,,603,489,0,880,13,557,0,349
34,218,,81200,812,2915,2367380,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,219,,361800,3618,3251,11762000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,220,,37900,379,2911,1103390,56,35,0,83,0,44,0,22,,56,35,0,83,0,44,0,22
34,221,,614700,6147,3473,21347300,852,347,0,977,0,209,0,225,,852,347,0,977,0,209,0,225
34,222,,1021700,10217,3503,35788200,1174,440,0,1237,0,282,0,296,,1174,440,0,1237,0,282,0,296
34,223,,17100,171,3981,680779,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,224,,62000,620,4026,2496220,159,19,0,84,0,11,0,18,,159,19,0,84,0,11,0,18
34,225,,10200,102,4036,411638,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,226,,40500,405,4056,1642510,35,4,0,18,0,2,0,4,,35,4,0,18,0,2,0,4
34,227,,197700,1977,4246,8395140,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
34,228,,1526000,15260,4724,72095100,1126,55,0,533,0,22,0,39,,1126,55,0,533,0,22,0,39
